from	network	to	regions
ovn_dekuypers_network_eastern_sea_of_dread	ovn_dekuypers_network	ovn_dekuypers_network_fu_hung	ovn_dekuypers_network_eastern_sea_of_dread-fu_hung
ovn_dekuypers_network_northern_straits_of_the_jade_sea	ovn_dekuypers_network	ovn_dekuypers_network_beichai	ovn_dekuypers_network_northern_straits_of_the_jade_sea-beichai
ovn_dekuypers_network_northern_straits_of_the_jade_sea	ovn_dekuypers_network	ovn_dekuypers_network_haichai	ovn_dekuypers_network_northern_straits_of_the_jade_sea-haichai
ovn_dekuypers_network_red_river	ovn_dekuypers_network	ovn_dekuypers_network_fu_chow	ovn_dekuypers_network_red_river-fu_chow
ovn_dekuypers_network_shifting_isles	ovn_dekuypers_network	ovn_dekuypers_network_straits_of_lothern	ovn_dekuypers_network_shifting_isles-straits_of_lothern
ovn_dekuypers_network_gulf_of_medes	ovn_dekuypers_network	ovn_dekuypers_network_sudenburg	ovn_dekuypers_network_gulf_of_medes-sudenburg
ovn_dekuypers_network_the_pirate_coast	ovn_dekuypers_network	ovn_dekuypers_network_al_haikk	ovn_dekuypers_network_the_pirate_coast-al_haikk
ovn_dekuypers_network_the_pirate_coast	ovn_dekuypers_network	ovn_dekuypers_network_zandri	ovn_dekuypers_network_the_pirate_coast-zandri
ovn_dekuypers_network_the_pirate_coast	ovn_dekuypers_network	ovn_dekuypers_network_shark_straights	ovn_dekuypers_network_the_pirate_coast-shark_straights
ovn_dekuypers_network_straits_of_lothern	ovn_dekuypers_network	ovn_dekuypers_network_lothern	ovn_dekuypers_network_straits_of_lothern-lothern
ovn_dekuypers_network_straits_of_lothern	ovn_dekuypers_network	ovn_dekuypers_network_scorpion_coast	ovn_dekuypers_network_straits_of_lothern-scorpion_coast
ovn_dekuypers_network_scorpion_coast	ovn_dekuypers_network	ovn_dekuypers_network_port_reaver	ovn_dekuypers_network_scorpion_coast-port_reaver
ovn_dekuypers_network_the_estalia_coastline	ovn_dekuypers_network	ovn_dekuypers_network_tilean_sea	ovn_dekuypers_network_the_estalia_coastline-tilean_sea
ovn_dekuypers_network_tilean_sea	ovn_dekuypers_network	ovn_dekuypers_network_sartosa	ovn_dekuypers_network_tilean_sea-sartosa
ovn_dekuypers_network_the_black_gulf	ovn_dekuypers_network	ovn_dekuypers_network_myrmidens	ovn_dekuypers_network_the_black_gulf-myrmidens
ovn_dekuypers_network_the_mistnar_crossing	ovn_dekuypers_network	ovn_dekuypers_network_middle_sea	ovn_dekuypers_network_the_mistnar_crossing-middle_sea
ovn_dekuypers_network_the_albion_channel	ovn_dekuypers_network	ovn_dekuypers_network_the_mistnar_crossing	ovn_dekuypers_network_the_albion_channel-the_mistnar_crossing
ovn_dekuypers_network_middle_sea	ovn_dekuypers_network	ovn_dekuypers_network_shifting_isles	ovn_dekuypers_network_middle_sea-shifting_isles
ovn_dekuypers_network_gulf_of_medes	ovn_dekuypers_network	ovn_dekuypers_network_the_churning_gulf	ovn_dekuypers_network_gulf_of_medes-the_churning_gulf
ovn_dekuypers_network_the_eastern_isles	ovn_dekuypers_network	ovn_dekuypers_network_eastern_sea_of_dread	ovn_dekuypers_network_the_eastern_isles-eastern_sea_of_dread
ovn_dekuypers_network_great_river	ovn_dekuypers_network	ovn_dekuypers_network_serpent_river	ovn_dekuypers_network_great_river-serpent_river
ovn_dekuypers_network_serpent_river	ovn_dekuypers_network	ovn_dekuypers_network_the_jade_sea	ovn_dekuypers_network_serpent_river-the_jade_sea
ovn_dekuypers_network_the_jade_sea	ovn_dekuypers_network	ovn_dekuypers_network_red_river	ovn_dekuypers_network_the_jade_sea-red_river
ovn_dekuypers_network_red_river	ovn_dekuypers_network	ovn_dekuypers_network_northern_straits_of_the_jade_sea	ovn_dekuypers_network_red_river-northern_straits_of_the_jade_sea
ovn_dekuypers_network_marienburg	ovn_dekuypers_network	ovn_dekuypers_network_river_reik	ovn_dekuypers_network_marienburg-river_reik
ovn_dekuypers_network_river_reik	ovn_dekuypers_network	ovn_dekuypers_network_altdorf	ovn_dekuypers_network_river_reik-altdorf
ovn_dekuypers_network_the_albion_channel	ovn_dekuypers_network	ovn_dekuypers_network_the_forbidding_coast	ovn_dekuypers_network_the_albion_channel-the_forbidding_coast
ovn_dekuypers_network_the_forbidding_coast	ovn_dekuypers_network	ovn_dekuypers_network_karond_kar	ovn_dekuypers_network_the_forbidding_coast-karond_kar
ovn_dekuypers_network_the_bleak_coast	ovn_dekuypers_network	ovn_dekuypers_network_arnheim	ovn_dekuypers_network_the_bleak_coast-arnheim
ovn_dekuypers_network_scorpion_coast	ovn_dekuypers_network	ovn_dekuypers_network_straits_of_fear	ovn_dekuypers_network_scorpion_coast-straits_of_fear
ovn_dekuypers_network_straits_of_fear	ovn_dekuypers_network	ovn_dekuypers_network_the_bleak_coast	ovn_dekuypers_network_straits_of_fear-the_bleak_coast
ovn_dekuypers_network_southern_sea_of_chaos	ovn_dekuypers_network	ovn_dekuypers_network_straights_of_chaos	ovn_dekuypers_network_southern_sea_of_chaos-straights_of_chaos
ovn_dekuypers_network_straights_of_chaos	ovn_dekuypers_network	ovn_dekuypers_network_northern_sea_of_chaos	ovn_dekuypers_network_straights_of_chaos-northern_sea_of_chaos
ovn_dekuypers_network_northern_sea_of_chaos	ovn_dekuypers_network	ovn_dekuypers_network_kraken_sea	ovn_dekuypers_network_northern_sea_of_chaos-kraken_sea
ovn_dekuypers_network_kraken_sea	ovn_dekuypers_network	ovn_dekuypers_network_frozen_sea	ovn_dekuypers_network_kraken_sea-frozen_sea
ovn_dekuypers_network_frozen_sea	ovn_dekuypers_network	ovn_dekuypers_network_sjoktraken	ovn_dekuypers_network_frozen_sea-sjoktraken
ovn_dekuypers_network_eastern_sea_of_dread	ovn_dekuypers_network	ovn_dekuypers_network_great_canal	ovn_dekuypers_network_eastern_sea_of_dread-great_canal
ovn_dekuypers_network_great_canal	ovn_dekuypers_network	ovn_dekuypers_network_great_river	ovn_dekuypers_network_great_canal-great_river
ovn_dekuypers_network_the_churning_gulf	ovn_dekuypers_network	ovn_dekuypers_network_serpent_coast_sea	ovn_dekuypers_network_the_churning_gulf-serpent_coast_sea
ovn_dekuypers_network_straights_of_chaos	ovn_dekuypers_network	ovn_dekuypers_network_karond_kar	ovn_dekuypers_network_straights_of_chaos-karond_kar
ovn_dekuypers_network_the_forbidding_coast	ovn_dekuypers_network	ovn_dekuypers_network_sunken_lands	ovn_dekuypers_network_the_forbidding_coast-sunken_lands
ovn_dekuypers_network_sunken_lands	ovn_dekuypers_network	ovn_dekuypers_network_the_bleak_coast	ovn_dekuypers_network_sunken_lands-the_bleak_coast
ovn_dekuypers_network_the_estalia_coastline	ovn_dekuypers_network	ovn_dekuypers_network_shark_straights	ovn_dekuypers_network_the_estalia_coastline-shark_straights
ovn_dekuypers_network_river_reik	ovn_dekuypers_network	ovn_dekuypers_network_river_reik_2	ovn_dekuypers_network_river_reik-course2
ovn_dekuypers_network_river_reik_2	ovn_dekuypers_network	ovn_dekuypers_network_river_reik_3	ovn_dekuypers_network_river_reik-course3
ovn_dekuypers_network_river_reik_3	ovn_dekuypers_network	ovn_dekuypers_network_bechafen	ovn_dekuypers_network_river_reik-bechafen
