key	generate	ui_image	prioritised	event_category	override_icon	is_large_incident	additional_sound_event	sepia_fade	use_revealing_text
rhox_mar_convoy_completed_magritta	false	cst/legendary_pirate_attacks	false	Event	event_convoy_positive.png	false		0.0000	false
rhox_mar_convoy_completed_sartosa	false	cst/legendary_pirate_attacks	false	Event	event_convoy_positive.png	false		0.0000	false
rhox_mar_convoy_completed_zandri	false	cst/legendary_pirate_attacks	false	Event	event_convoy_positive.png	false		0.0000	false
rhox_mar_convoy_completed_tower_of_the_sun	false	cst/legendary_pirate_attacks	false	Event	event_convoy_positive.png	false		0.0000	false
rhox_mar_convoy_completed_dai_cheng	false	cst/legendary_pirate_attacks	false	Event	event_convoy_positive.png	false		0.0000	false
rhox_mar_convoy_completed_fu_chow	false	cst/legendary_pirate_attacks	false	Event	event_convoy_positive.png	false		0.0000	false
rhox_mar_convoy_completed_haichai	false	cst/legendary_pirate_attacks	false	Event	event_convoy_positive.png	false		0.0000	false
rhox_mar_convoy_completed_myrmidens	false	cst/legendary_pirate_attacks	false	Event	event_convoy_positive.png	false		0.0000	false
rhox_mar_convoy_completed_bechafen	false	cst/legendary_pirate_attacks	false	Event	event_convoy_positive.png	false		0.0000	false
rhox_mar_double_cathay_reward_jaan	false	ivory_road	false	Event	event_caravan_positive.png	false		0.0000	false
rhox_mar_ll_hendrik_available	false	faction	false	Event		false		0.0000	false
rhox_mar_item_set_event	false	hkrul_mar_item_set_event	false	Event		true		0.0000	false
rhox_mar_convoy_completed_marienburg	false	cst/legendary_pirate_attacks	false	Event	event_convoy_positive.png	false		0.0000	false
rhox_mar_convoy_unlocked	false	cst/legendary_pirate_attacks	false	Event	event_convoy_positive.png	false		0.0000	false
rhox_mar_mundvard_criminal_recruited	false	generic	false	Event	event_convoy_positive.png	false		0.0000	false
rhox_mar_gained_access_to_the_guilded	false	diplomacy	false	Event		false		0.0000	false
rhox_mar_convoy_completed_nippon	false	cst/legendary_pirate_attacks	false	Event	event_convoy_positive.png	false		0.0000	false
rhox_mar_convoy_completed_ind	false	cst/legendary_pirate_attacks	false	Event	event_convoy_positive.png	false		0.0000	false
rhox_mar_convoy_completed_ihan	false	cst/legendary_pirate_attacks	false	Event	event_convoy_positive.png	false		0.0000	false
rhox_mar_convoy_completed_elithis	false	cst/legendary_pirate_attacks	false	Event	event_convoy_positive.png	false		0.0000	false
hkrul_mar_caravan_completed	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000	false
hkrul_mar_caravan_completed_altdorf	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000	false
hkrul_mar_caravan_completed_castle_drakenhof	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000	false
hkrul_mar_caravan_completed_erengrad	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000	false
hkrul_mar_caravan_completed_estalia	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000	false
hkrul_mar_caravan_completed_frozen_landing	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000	false
hkrul_mar_caravan_completed_ind	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000	false
hkrul_mar_caravan_completed_marienburg	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000	false
hkrul_mar_caravan_completed_novchozy	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000	false
hkrul_mar_caravan_completed_received	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000	false
hkrul_mar_caravan_completed_stone_bay	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000	false
hkrul_mar_caravan_completed_tilea	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000	false
hkrul_mar_caravan_completed_zharr_nagrund	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000	false
